, File Name, Addational Materialized Temporarys, Clang Trunk, Diff
131, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-change-namespace/tool/ClangChangeNamespace.cpp, 13001, 6008, 6993
132, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-doc/BitcodeReader.cpp, 12274, 5585, 6689
133, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-doc/BitcodeWriter.cpp, 11841, 5202, 6639
134, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-doc/ClangDoc.cpp, 13371, 5842, 7529
135, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-doc/Generators.cpp, 9850, 3923, 5927
136, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-doc/HTMLGenerator.cpp, 10912, 4637, 6275
137, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-doc/MDGenerator.cpp, 10075, 4148, 5927
138, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-doc/Mapper.cpp, 13118, 5797, 7321
139, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-doc/Representation.cpp, 10178, 4181, 5997
140, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-doc/Serialize.cpp, 12116, 5441, 6675
141, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-doc/YAMLGenerator.cpp, 10409, 4287, 6122
142, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-doc/tool/ClangDocMain.cpp, 13728, 6464, 7264
143, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/FuzzySymbolIndex.cpp, 3910, 733, 3177
144, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/InMemorySymbolIndex.cpp, 3659, 555, 3104
145, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/IncludeFixer.cpp, 14144, 6689, 7455
146, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/IncludeFixerContext.cpp, 4187, 941, 3246
147, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/SymbolIndexManager.cpp, 4393, 859, 3534
148, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/YamlSymbolIndex.cpp, 4329, 803, 3526
149, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/find-all-symbols/FindAllMacros.cpp, 5788, 1574, 4214
150, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/find-all-symbols/FindAllSymbols.cpp, 13586, 6530, 7056
151, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/find-all-symbols/FindAllSymbolsAction.cpp, 13743, 6423, 7320
152, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/find-all-symbols/HeaderMapCollector.cpp, 1751, 174, 1577
153, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/find-all-symbols/PathConfig.cpp, 5063, 1202, 3861
154, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/find-all-symbols/PragmaCommentHandler.cpp, 11903, 5292, 6611
155, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/find-all-symbols/STLPostfixHeaderMap.cpp, 3022, 1448, 1574
156, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/find-all-symbols/SymbolInfo.cpp, 4748, 874, 3874
157, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/find-all-symbols/tool/FindAllSymbolsMain.cpp, 14177, 6714, 7463
158, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/plugin/IncludeFixerPlugin.cpp, 14078, 6646, 7432
159, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-include-fixer/tool/ClangIncludeFixer.cpp, 10844, 4575, 6269
160, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-move/HelperDeclRefGraph.cpp, 14068, 6447, 7621
161, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-move/Move.cpp, 16192, 7994, 8198
162, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-move/tool/ClangMove.cpp, 14418, 6697, 7721
163, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-query/Query.cpp, 13194, 5935, 7259
164, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-query/QueryParser.cpp, 10894, 4740, 6154
165, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-query/tool/ClangQuery.cpp, 12716, 5826, 6890
166, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-reorder-fields/ReorderFieldsAction.cpp, 13824, 6283, 7541
167, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-reorder-fields/tool/ClangReorderFields.cpp, 9889, 3928, 5961
